title,link,saleprice,reviews
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 15.6"" (39.63cm) FHD IPS Thin & Light Laptop (8GB/1TB+256GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.66Kg), 82FG010BIN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05457562ZS17ZQ6FAQ89&url=%2FLenovo-Keyboard-Fingerprint-Graphite-82FG010BIN%2Fdp%2FB096SHMYJJ%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896583%26sr%3D8-17-spons%26psc%3D1&qualifier=1629896583&id=3487114363861888&widgetName=sp_atf_next,"62,005",4.0 out of 5 stars
"Lenovo IdeaPad Slim 3 2021 11th Gen Intel Core i5 15.6 FHD Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/2 Year Warranty/Arctic Grey/1.65Kg), 82H801CWIN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04719619YNZAU79UH9I&url=%2FLenovo-IdeaPad-Keyboard-Warranty-82H801CWIN%2Fdp%2FB09999TTV3%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896583%26sr%3D8-18-spons%26psc%3D1&qualifier=1629896583&id=3487114363861888&widgetName=sp_atf_next,"56,990",3.8 out of 5 stars
"HP Pavilion (2021) Thin & Light 11th Gen Core i5 Laptop, 16 GB RAM, 512GB SSD, Iris Xe Graphics, 14-inch (35.56 cms) FHD Screen, Win 10, MS Office, Backlit Keyboard, Natural Silver (14-dv0054TU)",/HP-Pavilion-Graphics-Keyboard-14-dv0054TU/dp/B08WBB369L/ref=sr_1_19?dchild=1&keywords=laptops&qid=1629896583&sr=8-19,"66,990",4.4 out of 5 stars
"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver",/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_20?dchild=1&keywords=laptops&qid=1629896583&sr=8-20,"27,499",3.9 out of 5 stars
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" (39.63cm) FHD Thin & Light Laptop (8GB/1TB HDD/Windows 10/MS Office/Intel UHD Graphics/2 Year Warranty/Platinum Grey/1.7Kg), 81WB015JIN",/Lenovo-Graphics-Warranty-Platinum-81WB015JIN/dp/B0999B6MT3/ref=sr_1_21?dchild=1&keywords=laptops&qid=1629896583&sr=8-21,"38,990",3.8 out of 5 stars
"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Gold 3150U/ 4GB RAM/ 1TB HDD/ Dos /Integrated AMD Radeon Graphics/ Iron Grey), 82C700JCIH",/Lenovo-15-6-inch-Integrated-Graphics-82C700JCIH/dp/B0972R7ZK2/ref=sr_1_22?dchild=1&keywords=laptops&qid=1629896583&sr=8-22,"29,450",4.3 out of 5 stars
"Dell Inspiron 3505 15.6"" FHD AG Display Laptop (R3-3250U/ 8GB DDR4/ 256GB SSD/ Win 10 + MS Office/ Radeon Graphics/ Soft Mint Color) D560486WIN9S",/Dell-Inspiron-3505-R3-3250U-D560486WIN9S/dp/B099X41XHY/ref=sr_1_23?dchild=1&keywords=laptops&qid=1629896583&sr=8-23,"38,690",5.0 out of 5 stars
"HP Chromebook x360 Intel Celeron N4020 Processor 12-inch (30.48 cms) Touchscreen Laptop (4GB/64GB eMMC Storage/Chrome OS/Natural Silver), 12b-ca0010TU",/HP-Chromebook-12b-ca0010TU-Touchscreen-Integrated/dp/B08C5WSTR6/ref=sr_1_24?dchild=1&keywords=laptops&qid=1629896583&sr=8-24,0,0
"Lenovo E41-45 (82BFS00300) Laptop (AMD A9-9425 / 4GB RAM/ 1TB HDD/ Win 10 Home SL/ 14 Inch (35.5 cm) Screen / Black), 1 Year Warranty",/Lenovo-E41-45-82BFS00300-A9-9425-Warranty/dp/B091NX3DRV/ref=sr_1_25?dchild=1&keywords=laptops&qid=1629896583&sr=8-25,0,0
"Dell Inspiron 3505 15.6"" (39.62 cms) HD Anti Glare Display Laptop (Athlon Gold 3150U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MS Office / Accent Black) D560343WIN9BE",/Dell-Inspiron-Integrated-Graphics-D560343WIN9BE/dp/B08TQL2FYP/ref=sr_1_26?dchild=1&keywords=laptops&qid=1629896583&sr=8-26,"30,290",4.3 out of 5 stars
